Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Opponent Total,,,26.2,38,418,3420,38.0,61,47,108,57,4,5,97,3,61.4,57.4,46.3,103.7,699,1343,1328,1.61,1.24,2.84,1.50,2.74,1.62,1.22,2.83,1.51,2.73,,Newcastle United
André Onana,cm CMR,GK,27,38,38,3420,38.0,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Manchester United
Diogo Dalot,pt POR,DF,24,36,35,3174,35.3,2,3,5,2,0,0,6,1,1.7,1.7,2.9,4.6,52,124,111,0.06,0.09,0.14,0.06,0.14,0.05,0.08,0.13,0.05,0.13,Matches,Manchester United
Bruno Fernandes,pt POR,"MF,FW",28,35,35,3118,34.6,10,8,18,6,4,5,9,0,10.0,6.1,11.8,17.8,86,297,182,0.29,0.23,0.52,0.17,0.40,0.29,0.34,0.63,0.18,0.51,Matches,Manchester United
Alejandro Garnacho,ar ARG,FW,19,36,30,2565,28.5,7,4,11,7,0,0,4,0,8.4,8.3,5.1,13.4,178,62,281,0.25,0.14,0.39,0.25,0.39,0.29,0.18,0.47,0.29,0.47,Matches,Manchester United
Marcus Rashford,eng ENG,FW,25,33,26,2271,25.2,7,2,9,5,2,2,2,0,7.4,5.8,2.3,8.1,95,65,185,0.28,0.08,0.36,0.20,0.28,0.29,0.09,0.38,0.23,0.32,Matches,Manchester United
Rasmus Højlund,dk DEN,FW,20,30,25,2158,24.0,10,2,12,10,0,0,2,0,7.6,7.6,1.6,9.2,35,33,111,0.42,0.08,0.50,0.42,0.50,0.32,0.07,0.38,0.32,0.38,Matches,Manchester United
Casemiro,br BRA,"MF,DF",31,25,24,1982,22.0,1,2,3,1,0,0,7,0,3.5,3.5,1.0,4.5,12,112,36,0.05,0.09,0.14,0.05,0.14,0.16,0.05,0.20,0.16,0.20,Matches,Manchester United
Kobbie Mainoo,eng ENG,MF,18,24,24,1924,21.4,3,1,4,3,0,0,3,0,0.9,0.9,0.7,1.6,25,64,36,0.14,0.05,0.19,0.14,0.19,0.04,0.03,0.07,0.04,0.07,Matches,Manchester United
Aaron Wan-Bissaka,eng ENG,DF,25,22,20,1780,19.8,0,2,2,0,0,0,4,0,0.1,0.1,1.5,1.6,30,77,54,0.00,0.10,0.10,0.00,0.10,0.01,0.08,0.08,0.01,0.08,Matches,Manchester United
